Algorithm,Preprocessing,Silhouette,Calinski-Harabasz,Davies-Bouldin
K-Means,No Processing,0.4783511430782059,210.15255932651328,0.8895092806753203
K-Means,Normalization,0.5482872649700601,140.1351833710643,0.9279350629308419
K-Means,Transform,0.2505010227219343,162.82432595654592,1.3384213916311474
K-Means,PCA,0.626656787167637,250.60036219367245,0.6586850583288594
Hierarchical,No Processing,0.37501552145375117,183.35966728564645,0.9782550571802849
Hierarchical,Normalization,0.2646091480214908,111.15103916524716,1.2845213578374575
Hierarchical,Transform,0.23671983160394067,141.95359553025264,1.3167884692043044
Hierarchical,PCA,0.6711068314408609,199.07371049827412,0.7534390004646917
Mean-Shift,No Processing,0.36440316111630044,54.754134193383166,0.5764533140593274
Mean-Shift,Normalization,0.4571190321890168,53.99186225521761,0.33106055380486393
Mean-Shift,Transform,0.2866403555940487,22.357920933248536,0.9533970586853986
Mean-Shift,PCA,0.5418048056491155,93.90141293634214,0.33553986933690005
